5.382000	5.382000	B
5.414000	5.414000	B
6.374000	6.374000	B
6.390000	6.390000	B
6.407000	6.407000	B
6.424000	6.424000	B
7.261000	7.261000	B
7.720000	7.720000	B
7.756000	7.756000	B 
8.180000	8.180000	B
8.223000	8.223000	B
8.621000	8.621000	B
8.652000	8.652000	B
9.081000	9.081000	B
9.117000	9.117000	B
9.518000	9.518000	B
9.967000	9.967000	B
10.000000	10.000000	B
10.410000	10.410000	B
10.451000	10.451000	B
10.864000	10.864000	B
10.898000	10.898000	B
11.303000	11.303000	B
11.760000	11.760000	B
11.795000	11.795000	B
12.205000	12.205000	B
12.649000	12.649000	B
13.088000	13.088000	B
13.122000	13.122000	B
13.539000	13.539000	B
13.568000	13.568000	B
13.982000	13.982000	B
14.430000	14.430000	B
14.466000	14.466000	B
14.888000	14.888000	B
14.930000	14.930000	B
15.343000	15.343000	B
15.439000	15.439000	B
15.778000	15.778000	B
15.809000	15.809000	B
16.229000	16.229000	B
16.258000	16.258000	B
16.678000	16.678000	B
16.703000	16.703000	B
17.124000	17.124000	B
17.170000	17.170000	B
17.583000	17.583000	B
17.607000	17.607000	B
18.032000	18.032000	B
18.060000	18.060000	B
18.070000	18.070000	B
18.076000	18.076000	B
18.473000	18.473000	B
19.366000	19.366000	B
19.396000	19.396000	B
19.819000	19.819000	B
20.266000	20.266000	B
20.712000	20.712000	B
21.157000	21.157000	B
21.611000	21.611000	B
21.643000	21.643000	B
21.649000	21.649000	B
21.657000	21.657000	B
22.049000	22.049000	B
22.081000	22.081000	B
22.497000	22.497000	B
22.954000	22.954000	B
22.981000	22.981000	B
23.404000	23.404000	B
23.851000	23.851000	B
23.894000	23.894000	B
24.294000	24.294000	B
24.340000	24.340000	B
24.734000	24.734000	B
25.186000	25.186000	B
25.634000	25.634000	B
26.089000	26.089000	B
